"","x_name","essential","degree","eigenvector_centrality","betweenness_centrality","closeness_centrality","predicted_lethality","acc"
"1779","YPL084W","0",30,0.000486960290159211,0.000411694551378357,0.293817497275339,"0",TRUE
"1782","YKR086W","1",62,0.000986513354151668,4.47412455272059e-05,0.302262766282744,"1",TRUE
"1783","YKL071W","0",9,1.15826098637393e-06,0.000116749318847459,0.241598435781498,"0",TRUE
"1785","YNL287W","1",68,0.000283992386586485,0.0012761318627687,0.319351712255008,"0",FALSE
"1786","YPL120W","1",70,9.38956458385144e-05,0.00202183621231716,0.329609869956652,"0",FALSE
"1787","YCR093W","1",55,0.00152458887035884,0.00169122892716128,0.329152561185415,"1",TRUE
"1790","YBR264C","0",16,5.54541797136954e-06,6.32773946923243e-05,0.274914248632613,"0",TRUE
"1791","YJL154C","0",57,4.61985170535692e-05,0.00166915920077274,0.316590156933917,"0",TRUE
"1793","YBL007C","1",53,0.00103334250080195,0.000980897401195262,0.32066392733564,"0",FALSE
"1794","YIL043C","0",4,1.80053367950167e-06,1.51720949753303e-05,0.261865866042651,"0",TRUE
"1795","YDR335W","0",64,0.00176349136471597,0.00201423748405149,0.335691645913516,"0",TRUE
"1796","YOL129W","0",8,1.76448826471345e-06,6.74441600802433e-05,0.242566766185432,"0",TRUE
"1803","YDL192W","0",80,0.00142166176745269,0.00394105726062176,0.339496279336005,"1",FALSE
"1804","YHR142W","0",14,5.11023375014478e-06,8.23172625421689e-05,0.267789416651616,"0",TRUE
"1805","YKL103C","0",40,0.000112708647132301,0.00108358902807063,0.322652594929823,"0",TRUE
"1807","YER136W","1",43,2.46271324646355e-05,0.000449976737611086,0.303562288872965,"0",FALSE
"1812","YKR026C","0",23,0.00135755758367135,0.000168487047864043,0.301402581563167,"0",TRUE
"1815","YOR069W","0",21,4.89086912883763e-05,0.000153256331321459,0.300455927051672,"0",TRUE
"1816","YDR524C","0",10,8.33881688518116e-06,6.2281246568864e-06,0.265547347212895,"0",TRUE
"1820","YGL124C","0",42,2.64855971170433e-05,0.000253569533569877,0.297740963855422,"0",TRUE
"1822","YLR418C","0",63,0.000615709531348556,0.000496420860052114,0.312190756921781,"1",FALSE
"1824","YCR032W","0",6,0.000288571327347991,4.67485714688326e-05,0.293192940827525,"0",TRUE
"1827","YDR164C","1",65,4.4036338203435e-05,0.000293630594891808,0.310247423758958,"0",FALSE
"1828","YKR090W","0",14,2.40532817984777e-05,3.40949531751802e-06,0.29732303990375,"0",TRUE
